"BookingID";"PetOwnerID";"ServiceID";"ProviderID";"RateID";"DiscountRate";"StartDate";"EndDate";"BookingDate";"BookingStatus"
1;1;1;1;1;5.0;"2025-07-01";"2025-07-05";"2025-06-25";"Confirmed"
2;2;3;2;2;0.0;"2025-07-02";"2025-07-04";"2025-06-26";"Confirmed"
3;3;5;3;3;2.5;"2025-07-10";"2025-07-10";"2025-07-01";"Completed"
4;4;7;4;4;0.0;"2025-07-07";"2025-07-07";"2025-07-01";"Cancelled"
5;5;13;5;5;3.0;"2025-07-03";"2025-07-03";"2025-06-30";"Confirmed"
6;6;6;6;6;2.0;"2025-07-12";"2025-07-12";"2025-07-05";"Confirmed"
7;7;9;7;7;0.0;"2025-07-08";"2025-07-08";"2025-07-02";"Completed"
8;8;10;8;8;1.0;"2025-07-09";"2025-07-09";"2025-07-03";"Confirmed"
9;9;2;9;9;4.0;"2025-07-15";"2025-07-16";"2025-07-05";"Confirmed"
10;10;4;10;10;5.0;"2025-07-11";"2025-07-13";"2025-07-04";"Confirmed"
11;11;12;11;11;0.0;"2025-07-14";"2025-07-14";"2025-07-06";"Confirmed"
12;12;11;12;12;1.0;"2025-07-10";"2025-07-10";"2025-07-07";"Confirmed"
13;13;8;13;13;1.5;"2025-07-18";"2025-07-18";"2025-07-10";"Confirmed"
14;14;14;14;14;6.0;"2025-07-20";"2025-07-21";"2025-07-11";"Pending"
15;15;15;15;15;10.0;"2025-07-22";"2025-07-23";"2025-07-12";"Confirmed"
16;16;1;16;46;5.0;"2025-07-24";"2025-07-26";"2025-07-20";"Confirmed"
17;17;7;17;47;2.0;"2025-07-25";"2025-07-25";"2025-07-21";"Confirmed"
18;18;6;18;48;0.0;"2025-07-26";"2025-07-26";"2025-07-22";"Completed"
19;19;5;19;49;1.5;"2025-07-27";"2025-07-27";"2025-07-23";"Confirmed"
20;20;4;20;50;3.0;"2025-07-28";"2025-07-29";"2025-07-24";"Pending"
21;21;13;21;51;0.0;"2025-07-30";"2025-07-30";"2025-07-25";"Confirmed"
22;22;1;22;52;5.0;"2025-07-31";"2025-08-01";"2025-07-26";"Confirmed"
23;23;6;23;53;1.0;"2025-08-01";"2025-08-01";"2025-07-27";"Completed"
24;24;9;24;54;2.0;"2025-08-02";"2025-08-02";"2025-07-28";"Confirmed"
25;25;7;25;55;0.0;"2025-08-03";"2025-08-03";"2025-07-29";"Confirmed"
