"LocationID";"Zipcode";"City";"Province"
1;"V5K0A1";"Vancouver";"British Columbia"
2;"M5A1A1";"Toronto";"Ontario"
3;"H2X1S1";"Montreal";"Quebec"
4;"T2P1G1";"Calgary";"Alberta"
5;"S7K1N1";"Saskatoon";"Saskatchewan"
6;"R3C1A5";"Winnipeg";"Manitoba"
7;"B3J1S1";"Halifax";"Nova Scotia"
8;"E1C1G9";"Moncton";"New Brunswick"
9;"G1R4P5";"Quebec City";"Quebec"
10;"V8W1N6";"Victoria";"British Columbia"
11;"L5B3Y3";"Mississauga";"Ontario"
12;"K1P5G4";"Ottawa";"Ontario"
13;"J1H0A1";"Sherbrooke";"Quebec"
14;"T6H4N7";"Edmonton";"Alberta"
15;"C1A1N9";"Charlottetown";"Prince Edward Island"
16;"V6E 1B5";"Vancouver";"BC"
17;"V6H 3X8";"Vancouver";"BC"
18;"V6K 2N2";"Vancouver";"BC"
19;"V6L 1L4";"Vancouver";"BC"
20;"V6M 3W6";"Vancouver";"BC"
21;"V6N 1W7";"Vancouver";"BC"
22;"V6P 4W3";"Vancouver";"BC"
23;"V6R 1W1";"Vancouver";"BC"
24;"V6S 2J4";"Vancouver";"BC"
25;"V6T 1W5";"Vancouver";"BC"
26;"V6V 2L1";"Vancouver";"BC"
27;"V6W 1J5";"Vancouver";"BC"
28;"V6X 1S4";"Vancouver";"BC"
29;"V6Y 2A3";"Vancouver";"BC"
30;"V6Z 1C5";"Vancouver";"BC"
31;"V5K 1Z3";"Vancouver";"BC"
32;"V5L 3P2";"Vancouver";"BC"
33;"V5M 4J6";"Vancouver";"BC"
34;"V5N 2R4";"Vancouver";"BC"
35;"V5P 3W1";"Vancouver";"BC"
