"RateID";"ProviderID";"ServiceID";"Rate";"RateType";"EffectiveDate"
1;1;1;45.0;"Per Night";"2024-01-01"
2;1;7;20.0;"Per Walk";"2024-01-01"
3;1;13;35.0;"Per Session";"2024-01-01"
4;2;2;40.0;"Per Night";"2024-01-01"
5;2;5;30.0;"Per Day";"2024-01-01"
6;2;11;15.0;"Per Visit";"2024-01-01"
7;3;3;50.0;"Per Night";"2024-01-01"
8;3;6;28.0;"Per Day";"2024-01-01"
9;3;9;12.0;"Per Visit";"2024-01-01"
10;4;4;45.0;"Per Night";"2024-01-01"
11;4;10;20.0;"Per Visit";"2024-01-01"
12;4;14;55.0;"Per Day";"2024-01-01"
13;5;1;50.0;"Per Night";"2024-01-01"
14;5;8;35.0;"Per Walk";"2024-01-01"
15;5;12;20.0;"Per Visit";"2024-01-01"
16;6;5;25.0;"Per Day";"2024-01-01"
17;6;9;15.0;"Per Visit";"2024-01-01"
18;6;15;60.0;"Per Night";"2024-01-01"
19;7;3;48.0;"Per Night";"2024-01-01"
20;7;6;30.0;"Per Day";"2024-01-01"
21;7;7;22.0;"Per Walk";"2024-01-01"
22;8;4;46.0;"Per Night";"2024-01-01"
23;8;13;38.0;"Per Session";"2024-01-01"
24;8;10;18.0;"Per Visit";"2024-01-01"
25;9;2;42.0;"Per Night";"2024-01-01"
26;9;11;16.0;"Per Visit";"2024-01-01"
27;9;7;21.0;"Per Walk";"2024-01-01"
28;10;1;47.0;"Per Night";"2024-01-01"
29;10;14;58.0;"Per Day";"2024-01-01"
30;10;12;22.0;"Per Visit";"2024-01-01"
31;11;3;50.0;"Per Night";"2024-01-01"
32;11;5;32.0;"Per Day";"2024-01-01"
33;11;15;65.0;"Per Night";"2024-01-01"
34;12;6;29.0;"Per Day";"2024-01-01"
35;12;10;19.0;"Per Visit";"2024-01-01"
36;12;13;36.0;"Per Session";"2024-01-01"
37;13;4;43.0;"Per Night";"2024-01-01"
38;13;8;34.0;"Per Walk";"2024-01-01"
39;13;11;17.0;"Per Visit";"2024-01-01"
40;14;7;23.0;"Per Walk";"2024-01-01"
41;14;12;21.0;"Per Visit";"2024-01-01"
42;14;14;56.0;"Per Day";"2024-01-01"
43;15;1;49.0;"Per Night";"2024-01-01"
44;15;9;16.0;"Per Visit";"2024-01-01"
45;15;13;37.0;"Per Session";"2024-01-01"
46;16;1;46.0;"Per Night";"2024-07-01"
47;16;7;21.0;"Per Walk";"2024-07-01"
48;16;13;36.0;"Per Session";"2024-07-01"
49;17;2;43.0;"Per Night";"2024-07-01"
50;17;6;29.0;"Per Day";"2024-07-01"
51;17;11;16.0;"Per Visit";"2024-07-01"
52;18;3;51.0;"Per Night";"2024-07-01"
53;18;5;31.0;"Per Day";"2024-07-01"
54;18;9;14.0;"Per Visit";"2024-07-01"
55;19;4;47.0;"Per Night";"2024-07-01"
56;19;8;36.0;"Per Walk";"2024-07-01"
57;19;10;19.0;"Per Visit";"2024-07-01"
58;20;1;48.0;"Per Night";"2024-07-01"
59;20;12;23.0;"Per Visit";"2024-07-01"
60;20;14;57.0;"Per Day";"2024-07-01"
61;21;15;64.0;"Per Night";"2024-07-01"
62;21;6;30.0;"Per Day";"2024-07-01"
63;21;13;38.0;"Per Session";"2024-07-01"
64;22;2;44.0;"Per Night";"2024-07-01"
65;22;11;18.0;"Per Visit";"2024-07-01"
66;22;7;22.0;"Per Walk";"2024-07-01"
67;23;3;52.0;"Per Night";"2024-07-01"
68;23;10;20.0;"Per Visit";"2024-07-01"
69;23;14;59.0;"Per Day";"2024-07-01"
70;24;4;46.0;"Per Night";"2024-07-01"
71;24;8;35.0;"Per Walk";"2024-07-01"
72;24;13;39.0;"Per Session";"2024-07-01"
73;25;5;29.0;"Per Day";"2024-07-01"
74;25;7;20.0;"Per Walk";"2024-07-01"
75;25;11;17.0;"Per Visit";"2024-07-01"
76;26;1;47.0;"Per Night";"2024-07-01"
77;26;9;15.0;"Per Visit";"2024-07-01"
78;26;15;63.0;"Per Night";"2024-07-01"
79;27;3;53.0;"Per Night";"2024-07-01"
80;27;6;32.0;"Per Day";"2024-07-01"
81;27;10;21.0;"Per Visit";"2024-07-01"
82;28;2;45.0;"Per Night";"2024-07-01"
83;28;13;40.0;"Per Session";"2024-07-01"
84;28;12;24.0;"Per Visit";"2024-07-01"
85;29;4;48.0;"Per Night";"2024-07-01"
86;29;8;34.0;"Per Walk";"2024-07-01"
87;29;14;58.0;"Per Day";"2024-07-01"
88;30;5;30.0;"Per Day";"2024-07-01"
89;30;7;23.0;"Per Walk";"2024-07-01"
90;30;11;18.0;"Per Visit";"2024-07-01"
91;31;6;33.0;"Per Day";"2024-07-01"
92;31;1;50.0;"Per Night";"2024-07-01"
93;31;13;37.0;"Per Session";"2024-07-01"
94;32;3;52.0;"Per Night";"2024-07-01"
95;32;9;16.0;"Per Visit";"2024-07-01"
96;32;12;25.0;"Per Visit";"2024-07-01"
97;33;2;46.0;"Per Night";"2024-07-01"
98;33;10;22.0;"Per Visit";"2024-07-01"
99;33;6;31.0;"Per Day";"2024-07-01"
100;34;4;49.0;"Per Night";"2024-07-01"
101;34;7;24.0;"Per Walk";"2024-07-01"
102;34;14;60.0;"Per Day";"2024-07-01"
103;35;5;32.0;"Per Day";"2024-07-01"
104;35;15;66.0;"Per Night";"2024-07-01"
105;35;13;41.0;"Per Session";"2024-07-01"
